遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,特別號
大樂透,115000030,2026/3/1,154024650,3080493,89281871,4,7,34,40,44,49,37
大樂透,115000031,2026/3/2,164199000,3283980,129314087,19,25,27,28,33,39,37
大樂透,115000032,2026/3/3,217247200,4344944,194353927,5,26,27,35,45,46,37
大樂透,115000033,2026/3/6,127211050,2544221,194338289,9,11,12,14,23,25,42
大樂透,115000034,2026/3/10,109041050,2180821,136497110,5,11,29,37,43,47,10
大樂透,115000035,2026/3/13,105648950,2112979,59163412,5,12,13,38,47,48,3
大樂透,115000036,2026/3/17,107030900,2140618,137413787,2,6,10,22,40,45,17
大樂透,115000037,2026/3/20,107753450,2155069,60341932,11,15,33,38,41,43,21
大樂透,115000038,2026/3/24,101360200,2027204,81698512,14,33,41,42,44,48,47
大樂透,115000039,2026/3/27,96261500,1925230,104545411,4,8,23,26,29,36,38
大樂透,115000040,2026/3/31,99881950,1997639,124461359,5,11,25,40,45,47,39
大樂透,115000041,2026/4/3,95430650,1908613,143893374,5,12,13,25,36,48,8
大樂透,115000042,2026/4/7,94878950,1897579,160407840,1,2,6,16,18,26,47
大樂透,115000043,2026/4/10,106551100,2131022,187532185,4,10,15,17,21,40,30
大樂透,115000044,2026/4/14,110479500,2209590,209877670,4,8,21,23,24,43,13
大樂透,115000045,2026/4/17,111176850,2223537,233897240,7,10,11,22,40,45,18
大樂透,115000046,2026/4/21,119030400,2380608,262352214,1,6,17,19,20,40,22
大樂透,115000047,2026/4/24,87060750,1741215,48754020,7,14,16,37,39,47,34
大樂透,115000048,2026/4/28,95226900,1904538,74611154,6,10,14,25,26,32,7
大樂透,115000049,2026/5/1,90528550,1810571,89618996,7,22,27,35,43,48,45
大樂透,115000050,2026/5/5,88008850,1760177,109953370,4,17,23,28,33,37,15
大樂透,115000051,2026/5/8,95773700,1915474,132717788,10,18,25,28,39,43,48
大樂透,115000052,2026/5/12,95315650,1906313,56524442,6,12,18,19,32,36,34
大樂透,115000053,2026/5/15,90848050,1816961,70777426,16,29,30,35,42,43,1
大樂透,115000054,2026/5/19,92262900,1845258,93882358,4,20,22,26,38,47,27
大樂透,115000055,2026/5/22,90605200,1812104,113210853,12,13,16,21,28,48,30
大樂透,115000056,2026/5/26,90008550,1800171,135082185,3,27,29,37,47,48,11
大樂透,115000057,2026/5/29,92275850,1845517,158566424,20,26,29,31,37,49,30
大樂透,115000058,2026/6/2,101660600,2033212,187675001,8,9,16,20,37,49,2
大樂透,115000059,2026/6/5,128106700,2562134,224988362,12,14,25,30,32,44,34
大樂透,115000060,2026/6/9,143083500,2861670,257167347,13,18,25,39,40,46,31
大樂透,115000061,2026/6/12,152511000,3050220,296087050,1,6,16,20,34,49,3
大樂透,115000062,2026/6/16,165683050,3313661,336898701,1,2,9,11,28,36,41
大樂透,115000063,2026/6/19,195405550,3908111,383926029,4,12,28,29,35,48,38
大樂透,115000064,2026/6/23,196562100,3931242,424971577,12,18,29,33,34,39,30
大樂透,115000065,2026/6/26,169847400,3396948,454840561,11,19,23,24,29,41,1
大樂透,115000066,2026/6/30,205899950,4117999,511818423,4,10,16,29,36,45,14
大樂透,115000067,2026/7/3,,,,11,16,19,23,39,47,15
大樂透,115000068,2026/7/7,,,,8,13,15,18,19,42,37
大樂透,115000069,2026/7/10,,,,3,4,15,18,29,49,13
大樂透,115000070,2026/7/14,,,,10,25,34,36,45,46,7
大樂透,115000071,2026/7/17,,,,1,6,12,14,17,26,24
大樂透,115000072,2026/7/21,,,,2,8,15,26,35,46,11
大樂透,115000073,2026/7/24,,,,3,15,27,34,35,44,40
大樂透,115000074,,,,,,,,,,,
大樂透,115000075,,,,,,,,,,,
大樂透,115000076,,,,,,,,,,,
大樂透,115000077,,,,,,,,,,,
大樂透,115000078,,,,,,,,,,,
大樂透,115000079,,,,,,,,,,,
,115000080,,,,,,,,,,,
