遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5
39樂合彩,114000159,2025/07/01,43733175,1749327,25346000,6,8,11,19,38
39樂合彩,114000160,2025/07/02,33388600,1335544,14773125,6,13,21,24,38
39樂合彩,114000161,2025/07/03,32158400,1286336,13906875,10,21,22,26,27
39樂合彩,114000162,2025/07/04,30827775,1233111,15028625,5,24,31,36,39
39樂合彩,114000163,2025/07/05,32740325,1309613,23205750,8,14,22,24,35
39樂合彩,114000164,2025/07/07,32195175,1287807,24186250,14,25,27,35,38
39樂合彩,114000165,2025/07/08,29961500,1198460,17190375,3,4,24,27,33
39樂合彩,114000166,2025/07/09,30934175,1237367,21549375,13,18,27,28,37
39樂合彩,114000167,2025/07/10,32414475,1296579,11941750,2,3,4,34,36
39樂合彩,114000168,2025/07/11,31378075,1255123,26085750,9,26,37,38,39
39樂合彩,114000169,2025/07/12,33419000,1336760,12014875,3,19,20,21,26
39樂合彩,114000170,2025/07/14,33169025,1326761,30751125,8,11,12,29,36
39樂合彩,114000171,2025/07/15,29999725,1199989,15798250,9,16,21,22,38
39樂合彩,114000172,2025/07/16,32607650,1304306,35729750,15,18,24,31,32
39樂合彩,114000173,2025/07/17,33270525,1330821,15329750,4,6,11,29,37
39樂合彩,114000174,2025/07/18,30545925,1221837,28918125,12,21,22,38,39
39樂合彩,114000175,2025/07/19,33336650,1333466,27613250,7,11,14,26,27
39樂合彩,114000176,2025/07/21,33651100,1346044,14599625,1,6,11,22,34
39樂合彩,114000177,2025/07/22,30356450,1214258,11324125,19,21,27,32,39
39樂合彩,114000178,2025/07/23,32405000,1296200,17481375,16,18,23,36,39
39樂合彩,114000179,2025/07/24,31414375,1256575,12498250,2,6,9,29,32
39樂合彩,114000180,2025/07/25,28742500,1149700,44336750,5,7,10,26,30
39樂合彩,114000181,2025/07/26,32254650,1290186,13484750,14,15,18,23,29
39樂合彩,114000182,2025/07/28,31257050,1250282,8987375,4,16,22,23,30
39樂合彩,114000183,2025/07/29,27207150,1088286,15258000,1,6,10,13,27
39樂合彩,114000184,2025/07/30,30684250,1227370,15787125,17,22,24,30,32
39樂合彩,114000185,2025/07/31,30456750,1218270,16288875,11,12,17,34,36
39樂合彩,114000186,2025/08/01,30082350,1203294,10166500,2,13,18,33,34
39樂合彩,114000187,2025/08/02,30496525,1219861,26863875,3,14,22,25,31
39樂合彩,114000188,2025/08/04,32117100,1284684,13494125,3,21,23,25,26
39樂合彩,114000189,2025/08/05,30055875,1202235,11057375,13,20,21,32,37
39樂合彩,114000190,2025/08/06,32632050,1305282,26564750,6,10,24,28,38
39樂合彩,114000191,2025/08/07,33304650,1332186,17961500,10,20,28,30,37
39樂合彩,114000192,2025/08/08,31697100,1267884,15414250,11,25,27,30,34
39樂合彩,114000193,2025/08/09,34323850,1372954,19595000,1,9,27,29,30
39樂合彩,114000194,2025/08/11,34672975,1386919,18703625,1,14,22,26,28
39樂合彩,114000195,2025/08/12,30904000,1236160,8918750,1,9,17,25,30
39樂合彩,114000196,2025/08/13,29393325,1175733,17110375,11,23,26,32,34
39樂合彩,114000197,2025/08/14,32287525,1291501,26619375,10,12,14,31,35
39樂合彩,114000198,2025/08/15,31722650,1268906,12974375,1,5,16,18,26
39樂合彩,114000199,2025/08/16,33155450,1326218,16007250,15,18,22,24,31
39樂合彩,114000200,2025/08/18,33229475,1329179,20247750,9,12,18,27,29
39樂合彩,114000201,2025/08/19,29901825,1196073,8739875,6,7,18,31,35
39樂合彩,114000202,2025/08/20,31430325,1257213,7489000,15,18,29,31,39
39樂合彩,114000203,2025/08/21,31034725,1241389,14045375,16,27,28,29,33
39樂合彩,114000204,2025/08/22,29073250,1162930,16748750,6,7,21,37,38
39樂合彩,114000205,2025/08/23,32090550,1283622,31456250,4,5,8,27,39
39樂合彩,114000206,2025/08/25,32201250,1288050,18205500,6,12,15,23,26
39樂合彩,114000207,2025/08/26,27772400,1110896,13770750,2,5,24,38,39
39樂合彩,114000208,2025/08/27,30980725,1239229,14471875,3,5,28,30,32
39樂合彩,114000209,2025/08/28,30228975,1209159,14190000,5,7,21,23,29
39樂合彩,114000210,2025/08/29,29644350,1185774,12027375,7,20,21,30,38
39樂合彩,114000211,2025/08/30,31719725,1268789,16640250,4,5,7,13,14
39樂合彩,114000212,2025/09/01,32201325,1288053,11124000,21,24,28,29,35
39樂合彩,114000213,2025/09/02,27709175,1108367,20915250,5,8,10,23,25
39樂合彩,114000214,2025/09/03,31456725,1258269,13794375,14,15,20,21,23
39樂合彩,114000215,2025/09/04,30687850,1227514,27220750,6,7,24,27,34
39樂合彩,114000216,2025/09/05,30584775,1223391,16550625,7,9,29,32,38
39樂合彩,114000217,2025/09/06,33802550,1352102,21771000,8,14,25,28,31
39樂合彩,114000218,2025/09/08,33758500,1350340,29796125,7,11,20,28,38
39樂合彩,114000219,2025/09/09,30480650,1219226,13167000,8,20,23,25,26
39樂合彩,114000220,2025/09/10,33925875,1357035,12973375,12,14,16,28,39
39樂合彩,114000221,2025/09/11,32832775,1313311,17940125,6,18,26,28,36
39樂合彩,114000222,2025/09/12,30720300,1228812,12931375,9,12,16,26,34
39樂合彩,114000223,2025/09/13,33228075,1329123,13434625,2,25,32,35,36
39樂合彩,114000224,2025/09/15,32650200,1306008,16393875,7,9,10,12,28
39樂合彩,114000225,2025/09/16,29823050,1192922,19298000,2,9,19,21,33
39樂合彩,114000226,2025/09/17,31651775,1266071,23754000,4,6,7,12,38
39樂合彩,114000227,2025/09/18,31406950,1256278,14425625,5,12,14,23,33
39樂合彩,114000228,2025/09/19,29305200,1172208,20028375,2,11,22,24,31
39樂合彩,114000229,2025/09/20,32622075,1304883,19347500,5,8,11,13,22
39樂合彩,114000230,2025/09/22,32301625,1292065,45111875,7,9,12,14,33
39樂合彩,114000231,2025/09/23,28317325,1132693,9569250,6,19,20,33,37
39樂合彩,114000232,2025/09/24,31252875,1250115,13324000,4,22,23,35,39
39樂合彩,114000233,2025/09/25,30871225,1234849,15639375,2,10,13,28,32
39樂合彩,114000234,2025/09/26,29365975,1174639,22683125,3,7,14,25,34
39樂合彩,114000235,2025/09/27,31995275,1279811,9656875,3,11,13,28,37
39樂合彩,114000236,2025/09/29,41753225,1670129,20062000,3,15,21,29,37
39樂合彩,114000237,2025/09/30,37885725,1515429,20058000,14,20,21,28,33
39樂合彩,114000238,2025/10/01,41192750,1647710,39182000,3,5,12,22,27
39樂合彩,114000239,2025/10/02,41894650,1675786,24240000,10,19,25,36,39
39樂合彩,114000240,2025/10/03,40368300,1614732,19457750,10,16,19,21,28
39樂合彩,114000241,2025/10/04,43694900,1747796,20905500,3,4,10,18,39
39樂合彩,114000242,2025/10/06,43208525,1728341,35472500,3,5,6,12,13
39樂合彩,114000243,2025/10/07,39575350,1583014,19942000,1,16,20,28,34
39樂合彩,114000244,2025/10/08,42178300,1687132,35828000,3,9,26,38,39
39樂合彩,114000245,2025/10/09,43184075,1727363,31258750,2,4,12,15,29
39樂合彩,114000246,2025/10/10,42044250,1681770,26702000,3,6,24,31,36
39樂合彩,114000247,2025/10/11,43308175,1732327,22785750,4,9,19,22,34
39樂合彩,114000248,2025/10/13,45397650,1815906,33846000,8,13,14,22,36
39樂合彩,114000249,2025/10/14,40711700,1628468,28417500,4,5,9,18,24
39樂合彩,114000250,2025/10/15,44104925,1764197,19963000,4,7,19,33,39
39樂合彩,114000251,2025/10/16,43335225,1733409,19711250,4,18,21,30,37
39樂合彩,114000252,2025/10/17,40969350,1638774,21329750,1,21,31,32,34
39樂合彩,114000253,2025/10/18,42757475,1710299,62511250,2,17,32,35,38
39樂合彩,114000254,2025/10/20,39844175,1593767,35721000,6,13,22,23,27
39樂合彩,114000255,2025/10/21,36461225,1458449,10788500,13,22,30,37,38
39樂合彩,114000256,2025/10/22,38712575,1548503,37783250,3,4,20,25,28
39樂合彩,114000257,2025/10/23,40584575,1623383,22652250,8,15,27,37,38
39樂合彩,114000258,2025/10/24,39027800,1561112,21242250,8,11,13,37,38
39樂合彩,114000259,2025/10/25,44295725,1771829,32409750,3,4,11,21,34
39樂合彩,114000260,2025/10/27,33471400,1338856,12204625,3,20,26,31,37
39樂合彩,114000261,2025/10/28,28499100,1139964,8679250,18,20,25,29,31
39樂合彩,114000262,2025/10/29,31771350,1270854,18719375,26,32,33,36,39
39樂合彩,114000263,2025/10/30,30767200,1230688,16302000,5,27,28,31,37
39樂合彩,114000264,2025/10/31,30623800,1224952,9830250,11,18,25,26,33
39樂合彩,114000265,2025/11/01,32969425,1318777,21782500,8,12,19,27,28
39樂合彩,114000266,2025/11/03,33160425,1326417,17874375,24,25,34,36,37
39樂合彩,114000267,2025/11/04,28597125,1143885,18670625,1,7,12,29,39
39樂合彩,114000268,2025/11/05,33781075,1351243,15154500,11,14,15,27,39
39樂合彩,114000269,2025/11/06,32536225,1301449,15396750,7,24,28,31,32
39樂合彩,114000270,2025/11/07,30742625,1229705,11310500,22,27,30,32,37
39樂合彩,114000271,2025/11/08,33101375,1324055,21878125,7,8,9,26,34
39樂合彩,114000272,2025/11/10,32881400,1315256,12939625,7,14,15,17,30
39樂合彩,114000273,2025/11/11,28505300,1140212,8944875,5,19,31,34,39
39樂合彩,114000274,2025/11/12,32419875,1296795,15716125,1,4,9,14,22
39樂合彩,114000275,2025/11/13,32749350,1309974,32875375,13,18,20,23,36
39樂合彩,114000276,2025/11/14,31823925,1272957,25825750,2,11,15,37,38
39樂合彩,114000277,2025/11/15,35976250,1439050,29051750,12,20,25,28,29
39樂合彩,114000278,2025/11/17,35129875,1405195,18446625,4,7,16,26,29
39樂合彩,114000279,2025/11/18,30342575,1213703,19732250,14,24,31,36,37
