遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5
今彩539,114000189,2025/8/5,34366500,687330,15596700,13,20,21,32,37
今彩539,114000190,2025/8/6,37647400,752948,13479300,6,10,24,28,38
今彩539,114000191,2025/8/7,36067850,721357,33634450,10,20,28,30,37
今彩539,114000192,2025/8/8,36911750,738235,17213150,11,25,27,30,34
今彩539,114000193,2025/8/9,38021100,760422,9819550,1,9,27,29,30
今彩539,114000194,2025/8/11,39099100,781982,33873650,1,14,22,26,28
今彩539,114000195,2025/8/12,34891000,697820,16716150,1,9,17,25,30
今彩539,114000196,2025/8/13,32764350,655287,17829150,11,23,26,32,34
今彩539,114000197,2025/8/14,34447350,688947,18769400,10,12,14,31,35
今彩539,114000198,2025/8/15,35988900,719778,25397300,1,5,16,18,26
今彩539,114000199,2025/8/16,37156600,743132,9317500,15,18,22,24,31
今彩539,114000200,2025/8/18,37888300,757766,28158650,9,12,18,27,29
今彩539,114000201,2025/8/19,33898950,677979,7769900,6,7,18,31,35
今彩539,114000202,2025/8/20,35920950,718419,7647600,15,18,29,31,39
今彩539,114000203,2025/8/21,33988100,679762,15845100,16,27,28,29,33
今彩539,114000204,2025/8/22,34551150,691023,10717650,6,7,21,37,38
今彩539,114000205,2025/8/23,36506200,730124,12308000,4,5,8,27,39
今彩539,114000206,2025/8/25,37913100,758262,11777750,6,12,15,23,26
今彩539,114000207,2025/8/26,32700800,654016,8237300,2,5,24,38,39
今彩539,114000208,2025/8/27,36564000,731280,33422650,3,5,28,30,32
今彩539,114000209,2025/8/28,33703600,674072,33360450,5,7,21,23,29
今彩539,114000210,2025/8/29,35186750,703735,8450350,7,20,21,30,38
今彩539,114000211,2025/8/30,36467450,729349,26296850,4,5,7,13,14
今彩539,114000212,2025/9/1,37801050,756021,7827150,21,24,28,29,35
今彩539,114000213,2025/9/2,33237650,664753,36472650,5,8,10,23,25
今彩539,114000214,2025/9/3,36813900,736278,8810350,14,15,20,21,23
今彩539,114000215,2025/9/4,33678400,673568,35044000,6,7,24,27,34
今彩539,114000216,2025/9/5,35836600,716732,9642850,7,9,29,32,38
今彩539,114000217,2025/9/6,37519400,750388,35793850,8,14,25,28,31
今彩539,114000218,2025/9/8,38497500,769950,27877500,7,11,20,28,38
今彩539,114000219,2025/9/9,34997800,699956,17534700,8,20,23,25,26
今彩539,114000220,2025/9/10,37870150,757403,17102850,12,14,16,28,39
今彩539,114000221,2025/9/11,34796950,695939,25480050,6,18,26,28,36
今彩539,114000222,2025/9/12,35751700,715034,26117650,9,12,16,26,34
今彩539,114000223,2025/9/13,37735750,754715,16333900,2,25,32,35,36
今彩539,114000224,2025/9/15,38222550,764451,38363300,7,9,10,12,28
今彩539,114000225,2025/9/16,34695950,693919,25524300,2,9,19,21,33
今彩539,114000226,2025/9/17,36882250,737645,28563450,4,6,7,12,38
今彩539,114000227,2025/9/18,33720100,674402,25063250,5,12,14,23,33
今彩539,114000228,2025/9/19,34183000,683660,10885550,2,11,22,24,31
今彩539,114000229,2025/9/20,37132750,742655,28373550,5,8,11,13,22
今彩539,114000230,2025/9/22,37600400,752008,44695097,7,9,12,14,33
今彩539,114000231,2025/9/23,31723350,634467,7185750,6,19,20,33,37
今彩539,114000232,2025/9/24,36702850,734057,25054800,4,22,23,35,39
今彩539,114000233,2025/9/25,33987250,679745,17173200,2,10,13,28,32
今彩539,114000234,2025/9/26,35340300,706806,28698000,3,7,14,25,34
今彩539,114000235,2025/9/27,36732600,734652,16624000,3,11,13,28,37
今彩539,114000236,2025/9/29,36859550,737191,16112450,3,15,21,29,37
今彩539,114000237,2025/9/30,34214700,684294,24308700,14,20,21,28,33
今彩539,114000238,2025/10/1,37134850,742697,12555850,3,5,12,22,27
今彩539,114000239,2025/10/2,34640600,692812,8608550,10,19,25,36,39
今彩539,114000240,2025/10/3,36582650,731653,32864900,10,16,19,21,28
今彩539,114000241,2025/10/4,38063300,761266,9155000,3,4,10,18,39
今彩539,114000242,2025/10/6,40623650,812473,20536100,3,5,6,12,13
今彩539,114000243,2025/10/7,35512250,710245,8323650,1,16,20,28,34
今彩539,114000244,2025/10/8,38126400,762528,12196850,3,9,26,38,39
今彩539,114000245,2025/10/9,36057200,721144,26275500,2,4,12,15,29
今彩539,114000246,2025/10/10,35748450,714969,17573150,3,6,24,31,36
今彩539,114000247,2025/10/11,37597200,751944,25387950,4,9,19,22,34
今彩539,114000248,2025/10/13,39275900,785518,35061350,8,13,14,22,36
今彩539,114000249,2025/10/14,35196800,703936,10684750,4,5,9,18,24
今彩539,114000250,2025/10/15,37903200,758064,8912300,4,7,19,33,39
今彩539,114000251,2025/10/16,34597200,691944,7536350,4,18,21,30,37
今彩539,114000252,2025/10/17,35545200,710904,15710850,1,21,31,32,34
今彩539,114000253,2025/10/18,36872700,737454,28586650,2,17,32,35,38
今彩539,114000254,2025/10/20,34632750,692655,10533200,6,13,22,23,27
今彩539,114000255,2025/10/21,31624300,632486,6436100,13,22,30,37,38
今彩539,114000256,2025/10/22,34002850,680057,13178250,3,4,20,25,28
今彩539,114000257,2025/10/23,33279150,665583,16288850,8,15,27,37,38
今彩539,114000258,2025/10/24,33122450,662449,8918150,8,11,13,37,38
今彩539,114000259,2025/10/25,35970000,719400,34603900,3,4,11,21,34
今彩539,114000260,2025/10/27,37431200,748624,24880900,3,20,26,31,37
今彩539,114000261,2025/10/28,32522550,650451,6884700,18,20,25,29,31
今彩539,114000262,2025/10/29,36962050,739241,9312450,26,32,33,36,39
今彩539,114000263,2025/10/30,33368700,667374,8928450,5,27,28,31,37
今彩539,114000264,2025/10/31,35884900,717698,33473350,11,18,25,26,33
今彩539,114000265,2025/11/1,37560100,751202,29366650,8,12,19,27,28
今彩539,114000266,2025/11/3,37880650,757613,33780700,24,25,34,36,37
今彩539,114000267,2025/11/4,34298700,685974,10124300,1,7,12,29,39
今彩539,114000268,2025/11/5,37695700,753914,16989500,11,14,15,27,39
今彩539,114000269,2025/11/6,34862750,697255,23909200,7,24,28,31,32
今彩539,114000270,2025/11/7,36594600,731892,8157900,22,27,30,32,37
今彩539,114000271,2025/11/8,37328500,746570,12332650,7,8,9,26,34
今彩539,114000272,2025/11/10,36977300,739546,33213800,7,14,15,17,30
今彩539,114000273,2025/11/11,33633750,672675,23530500,5,19,31,34,39
今彩539,114000274,2025/11/12,35705200,714104,17757850,1,4,9,14,22
今彩539,114000275,2025/11/13,33590050,671801,28167150,13,18,20,23,36
今彩539,114000276,2025/11/14,38764650,775293,12201550,2,11,15,37,38
今彩539,114000277,2025/11/15,39964200,799284,36925400,12,20,25,28,29
今彩539,114000278,2025/11/17,40484400,809688,19512150,4,7,16,26,29
今彩539,114000279,2025/11/18,35233350,704667,25246850,14,24,31,36,37
今彩539,114000280,2025/11/19,39251000,785020,26931750,3,11,20,28,31
今彩539,114000281,2025/11/20,36864950,737299,17563050,1,5,33,36,38
今彩539,114000282,2025/11/21,37611700,752234,20106500,5,10,17,28,35
今彩539,114000283,2025/11/22,40177800,803556,17133700,10,13,32,33,37
今彩539,114000284,2025/11/24,41626200,832524,17940300,2,4,5,17,31
今彩539,114000285,2025/11/25,36284350,725687,18454900,9,30,36,38,39
今彩539,114000286,2025/11/26,39610450,792209,38836400,7,13,26,28,34
今彩539,114000287,2025/11/27,36051450,721029,25290700,7,19,22,25,28
今彩539,114000288,2025/11/28,37404300,748086,18559250,8,13,14,22,28
今彩539,114000289,2025/11/29,39963500,799270,26114000,8,27,30,33,36
今彩539,114000290,2025/12/1,41495650,829913,20357700,2,3,4,20,24
今彩539,114000291,2025/12/2,36555400,731108,10971400,2,5,8,13,29
今彩539,114000292,2025/12/3,39166500,783330,26631150,5,9,14,33,35
今彩539,114000293,2025/12/4,36601700,732034,9980600,1,7,20,25,37
今彩539,114000294,2025/12/5,37895550,757911,32653150,2,3,16,17,29
今彩539,114000295,2025/12/6,40190600,803812,13654550,6,22,23,24,32
今彩539,114000296,2025/12/8,42175600,843512,36979000,5,23,27,28,31
今彩539,114000297,2025/12/9,37076200,741524,19394050,7,8,15,30,39
今彩539,114000298,2025/12/10,42001050,840021,37179150,4,7,11,16,26
今彩539,114000299,2025/12/11,38481450,769629,18236900,2,6,17,25,26
今彩539,114000300,2025/12/12,38548350,770967,9955850,10,24,26,28,35
今彩539,114000301,2025/12/13,39218200,784364,11064700,2,9,21,31,38
今彩539,114000302,2025/12/15,41253100,825062,26701050,3,17,27,29,38
今彩539,114000303,2025/12/16,36857950,737159,8093700,2,10,14,33,35
今彩539,114000304,2025/12/17,40331450,806629,21652050,5,6,7,19,32
今彩539,114000305,2025/12/18,37567550,751351,8760750,4,9,32,33,36
今彩539,114000306,2025/12/19,37843450,756869,11914800,12,16,23,27,30
今彩539,114000307,2025/12/20,39446450,788929,17833700,1,5,16,35,38
今彩539,114000308,2025/12/22,43266400,865328,11203700,2,22,24,27,38
今彩539,114000309,2025/12/23,38186950,763739,24699750,9,22,24,30,35
今彩539,114000310,2025/12/24,40496950,809939,9855200,2,3,14,25,30
今彩539,114000311,2025/12/25,34665350,693307,8752500,14,18,28,36,39
今彩539,114000312,2025/12/26,35874650,717493,17590550,1,10,20,27,36
今彩539,114000313,2025/12/27,38387550,767751,9564350,1,15,19,28,38
今彩539,114000314,2025/12/29,40914100,818282,40006650,5,10,13,29,37
今彩539,114000315,2025/12/30,36326150,726523,11620500,11,12,24,27,33
今彩539,114000316,2025/12/31,42771800,855436,28459650,8,10,11,26,35
